Category: All categories

Month,scipy: (United States),computational science: (United States)
2004-01,0,38
2004-02,0,34
2004-03,0,21
2004-04,0,39
2004-05,0,29
2004-06,20,31
2004-07,16,25
2004-08,18,20
2004-09,22,18
2004-10,0,27
2004-11,20,28
2004-12,13,19
2005-01,16,33
2005-02,22,20
2005-03,12,18
2005-04,0,14
2005-05,17,18
2005-06,25,23
2005-07,27,19
2005-08,29,12
2005-09,12,22
2005-10,21,17
2005-11,17,20
2005-12,25,14
2006-01,24,25
2006-02,24,26
2006-03,22,16
2006-04,25,17
2006-05,20,15
2006-06,19,14
2006-07,31,16
2006-08,29,18
2006-09,24,17
2006-10,27,17
2006-11,27,15
2006-12,25,17
2007-01,20,17
2007-02,28,16
2007-03,25,9
2007-04,22,14
2007-05,29,15
2007-06,28,14
2007-07,31,10
2007-08,26,18
2007-09,23,17
2007-10,26,17
2007-11,25,17
2007-12,25,18
2008-01,25,19
2008-02,30,16
2008-03,25,16
2008-04,29,14
2008-05,38,16
2008-06,30,12
2008-07,36,15
2008-08,31,14
2008-09,34,17
2008-10,34,17
2008-11,30,15
2008-12,31,14
2009-01,29,19
2009-02,30,17
2009-03,37,14
2009-04,33,15
2009-05,36,15
2009-06,36,19
2009-07,37,17
2009-08,38,17
2009-09,32,18
2009-10,35,15
2009-11,35,14
2009-12,28,15
2010-01,28,16
2010-02,30,16
2010-03,32,15
2010-04,38,15
2010-05,37,13
2010-06,45,13
2010-07,33,13
2010-08,27,12
2010-09,32,14
2010-10,35,18
2010-11,32,18
2010-12,27,15
2011-01,29,18
2011-02,35,20
2011-03,39,15
2011-04,35,13
2011-05,33,14
2011-06,37,12
2011-07,40,12
2011-08,32,12
2011-09,35,15
2011-10,36,17
2011-11,30,16
2011-12,27,13
2012-01,26,16
2012-02,29,14
2012-03,36,12
2012-04,35,13
2012-05,32,15
2012-06,34,10
2012-07,36,12
2012-08,34,12
2012-09,34,15
2012-10,40,15
2012-11,33,13
2012-12,30,12
2013-01,35,15
2013-02,39,15
2013-03,37,13
2013-04,45,12
2013-05,40,12
2013-06,44,11
2013-07,40,12
2013-08,36,11
2013-09,35,16
2013-10,39,15
2013-11,39,13
2013-12,34,12
2014-01,38,15
2014-02,44,15
2014-03,40,13
2014-04,46,15
2014-05,40,12
2014-06,41,10
2014-07,46,12
2014-08,40,15
2014-09,40,16
2014-10,44,15
2014-11,40,13
2014-12,34,14
2015-01,40,14
2015-02,43,13
2015-03,44,15
2015-04,50,14
2015-05,44,12
2015-06,48,12
2015-07,54,11
2015-08,45,15
2015-09,46,16
2015-10,53,16
2015-11,47,16
2015-12,40,14
2016-01,35,13
2016-02,50,15
2016-03,55,13
2016-04,56,12
2016-05,48,12
2016-06,53,12
2016-07,50,11
2016-08,46,12
2016-09,47,13
2016-10,54,16
2016-11,55,16
2016-12,46,14
2017-01,49,18
2017-02,67,17
2017-03,75,18
2017-04,73,16
2017-05,62,12
2017-06,73,13
2017-07,62,12
2017-08,59,14
2017-09,60,16
2017-10,67,17
2017-11,65,17
2017-12,51,15
2018-01,53,16
2018-02,69,17
2018-03,66,15
2018-04,71,15
2018-05,63,13
2018-06,63,12
2018-07,65,12
2018-08,60,15
2018-09,63,18
2018-10,69,17
2018-11,65,17
2018-12,50,16
2019-01,56,18
2019-02,76,16
2019-03,69,14
2019-04,72,17
2019-05,67,14
2019-06,70,13
2019-07,75,13
2019-08,64,14
2019-09,64,18
2019-10,76,19
2019-11,69,20
2019-12,49,17
2020-01,51,17
2020-02,74,14
2020-03,63,13
2020-04,71,15
2020-05,64,14
2020-06,63,13
2020-07,67,15
2020-08,53,16
2020-09,60,15
2020-10,52,13
2020-11,45,11
2020-12,33,10
2021-01,33,10
2021-02,43,10
2021-03,46,10
2021-04,48,11
2021-05,39,9
2021-06,43,9
2021-07,43,9
2021-08,40,11
2021-09,49,14
2021-10,53,13
2021-11,51,14
2021-12,40,11
2022-01,59,16
2022-02,93,18
2022-03,96,18
2022-04,97,19
2022-05,79,16
2022-06,74,15
2022-07,78,13
2022-08,77,18
2022-09,81,21
2022-10,87,21
2022-11,85,21
2022-12,66,16
2023-01,70,20
2023-02,100,18
2023-03,96,21
2023-04,87,20
2023-05,73,16
2023-06,77,17
2023-07,75,15
2023-08,68,22
2023-09,80,22
2023-10,82,23
2023-11,80,24
2023-12,60,20
2024-01,68,21
2024-02,97,21
2024-03,84,22
2024-04,87,21
2024-05,76,19
2024-06,72,17
2024-07,77,17
2024-08,64,22
2024-09,77,27
2024-10,84,26
2024-11,73,27
2024-12,60,22
2025-01,62,26
2025-02,84,23
2025-03,75,22
2025-04,76,23
2025-05,64,20
2025-06,64,22
2025-07,78,27
2025-08,56,26
2025-09,59,27
