num_downloads	month
150190314	2025-09-01
195540578	2025-08-01
178058833	2025-07-01
157530252	2025-06-01
155935293	2025-05-01
143035752	2025-04-01
138690143	2025-03-01
123819154	2025-02-01
125752710	2025-01-01
115732973	2024-12-01
123208904	2024-11-01
139814543	2024-10-01
127019716	2024-09-01
126394713	2024-08-01
119233018	2024-07-01
113809060	2024-06-01
114069738	2024-05-01
108510321	2024-04-01
104089006	2024-03-01
84357258	2024-02-01
79652668	2024-01-01
70366776	2023-12-01
67114296	2023-11-01
67452335	2023-10-01
60176871	2023-09-01
66035141	2023-08-01
58953094	2023-07-01
54789748	2023-06-01
57284660	2023-05-01
53729847	2023-04-01
58424907	2023-03-01
47596043	2023-02-01
50686570	2023-01-01
46080133	2022-12-01
45014790	2022-11-01
46832854	2022-10-01
45851227	2022-09-01
44885628	2022-08-01
40486368	2022-07-01
43897354	2022-06-01
45954611	2022-05-01
41457696	2022-04-01
40698419	2022-03-01
33881861	2022-02-01
34267479	2022-01-01
30936298	2021-12-01
33287539	2021-11-01
32555732	2021-10-01
29734652	2021-09-01
31762357	2021-08-01
31818999	2021-07-01
32447674	2021-06-01
29636565	2021-05-01
29071104	2021-04-01
27042125	2021-03-01
23341606	2021-02-01
23171198	2021-01-01
20895671	2020-12-01
19579392	2020-11-01
19906559	2020-10-01
19261750	2020-09-01
18414594	2020-08-01
23674362	2020-07-01
21267970	2020-06-01
23805202	2020-05-01
20104423	2020-04-01
18201342	2020-03-01
16452631	2020-02-01
16424779	2020-01-01
13204714	2019-12-01
12821878	2019-11-01
11330231	2019-10-01
10223682	2019-09-01
10354646	2019-08-01
11121112	2019-07-01
10596229	2019-06-01
9742091	2019-05-01
7237304	2019-04-01
7925007	2019-03-01
7223290	2019-02-01
6074141	2019-01-01
5053556	2018-12-01
5064019	2018-11-01
4998657	2018-10-01
4006832	2018-09-01
3904111	2018-08-01
1177429	2018-07-01
991947	2018-06-01
1177383	2018-05-01
1358591	2018-04-01
1132342	2018-03-01
1069997	2018-02-01
1182586	2018-01-01
1094234	2017-12-01
1090463	2017-11-01
1167448	2017-10-01
1015429	2017-09-01
