owner,repo,year,source_type,tag,count
scipy,scipy,2014,issues,optimization,67
scipy,scipy,2014,issues,signal-processing,59
scipy,scipy,2014,issues,physics,8
scipy,scipy,2014,issues,medical,425
scipy,scipy,2014,issues,linear-algebra,315
scipy,scipy,2014,issues,statistics,145
scipy,scipy,2014,issues,oceanography,51
scipy,scipy,2014,issues,astrophysics,28
scipy,scipy,2014,issues,geospatial,56
scipy,scipy,2014,issues,differential-equations,168
scipy,scipy,2014,issues,reinforcement-learning,39
scipy,scipy,2014,issues,computer-vision,43
scipy,scipy,2014,issues,information-theory,29
scipy,scipy,2014,issues,mechanics,5
scipy,scipy,2014,issues,quant-finance,45
scipy,scipy,2014,issues,probability,60
scipy,scipy,2014,issues,computational-chemistry,8
scipy,scipy,2014,issues,mathematics,15
scipy,scipy,2014,issues,machine-learning,4
scipy,scipy,2014,issues,remote-sensing,23
scipy,scipy,2014,issues,image-processing,35
scipy,scipy,2014,issues,network-science,12
scipy,scipy,2014,issues,economics,5
scipy,scipy,2014,issues,meteorology,29
scipy,scipy,2014,issues,control-systems,6
scipy,scipy,2014,issues,combinatorial-optimization,24
scipy,scipy,2014,issues,epidemiology,3
scipy,scipy,2014,issues,hypothesis-testing,8
scipy,scipy,2014,issues,numerical-linear-algebra,8
scipy,scipy,2014,issues,statistical-physics,7
scipy,scipy,2014,issues,graph-theory,26
scipy,scipy,2014,issues,convex-optimization,5
scipy,scipy,2014,issues,biology,33
scipy,scipy,2014,issues,time-series,5
scipy,scipy,2014,issues,natural-language-processing,8
scipy,scipy,2014,issues,chemistry,1
scipy,scipy,2014,issues,audio,4
scipy,scipy,2014,issues,time-frequency-analysis,4
scipy,scipy,2014,issues,bioinformatics,2
scipy,scipy,2014,issues,bayesian-statistics,4
scipy,scipy,2014,issues,cheminformatics,1
scipy,scipy,2014,issues,electromagnetism,1
scipy,scipy,2014,issues,geoscience,8
scipy,scipy,2014,issues,evolutionary-biology,3
scipy,scipy,2014,issues,simulation,1
scipy,scipy,2014,issues,cosmology,1
scipy,scipy,2014,issues,ecology,1
